repo_full_name,Chart.yaml,values.*.yaml,templates/,charts/,helm_release,helm_install,kustomize,terraform_manifest
ACS-High-School/EKS,0,0,0,0,0,0,0,0
ADesprets/cp4i-install,0,0,0,0,0,2,0,0
AI-Publishing-International-LLP-UK/asoos,0,0,0,0,0,0,0,0
AI4EPS/QuakeFlow,0,0,0,0,0,3,0,0
AMINE7119/microservices-deployment-pipeline,0,0,0,0,0,3,2,0
AMINEBENCHAA/-projet-crv-IAC,0,0,0,0,0,0,0,0
ANDSANTOS4546/k8s,0,0,0,0,0,0,0,0
ANRGUSC/SEIFER,0,0,0,0,0,1,0,0
ARCADMY/Kubernates-Manifests,0,0,0,0,0,0,0,0
ARCADMY/ant-enterprise-application,0,0,0,0,0,0,0,0
ARRahimipour/Sananet-DevOps-Engineering-Course,0,0,0,0,0,0,0,0
ASique-4/Practicas-SA-B-202012039,0,0,0,0,0,0,0,0
AWS2-Chuno/be,0,0,0,0,0,0,0,0
Aada-2025/R131-Kub-Manfisto,0,0,0,0,0,0,0,0
AadhyaDevOpstraining/kubernets,0,0,0,0,0,0,0,0
AadiManchekar/k8s-cluster-ops-v2,0,0,0,0,2,0,0,0
Aakash181/Deployment,0,0,0,0,0,0,0,0
Aakash181/flixtube,0,0,0,0,0,0,0,0
Aamantamboli/Kubernetes,0,0,0,0,0,0,0,0
AaminaBokhari/examprac,0,0,0,0,0,0,0,0
Aaradhyaghota/Major_Project_spe,0,0,0,0,0,0,0,0
AayushYadavv/minikube-test,0,0,0,0,0,0,0,0
Abhibhagat1407/flipkart-EKS-CICD,0,0,0,0,0,0,0,0
Abhijit89Kumar/Data-Pipeline-Builder,0,0,0,0,0,0,0,0
Abhishek010397/Kubernetes-route,0,0,0,0,0,0,0,0
Abmaelbt/INE5619-Trabalho-Pratico,0,0,0,0,0,0,0,0
AdamManuel-dev/ai-news-curator,0,0,0,0,0,2,6,0
Adenilson365/wp-k8s,0,0,0,0,0,0,0,0
AdilzhanB/ResearchRAG,0,0,0,0,0,0,0,0
Admire2/open-llm-chat,0,0,0,0,0,0,0,0
AdnanHodzic/wp-k8s,0,0,0,0,0,0,1,0
AdrianCsT/supabase-k8s-iac,0,0,0,0,0,1,0,0
AdrianVarelaG/devops-example-ui,0,0,0,0,0,0,3,0
AdrianWahyu/Biconic-AI,0,0,0,0,0,1,0,0
AgnerLoss/Descomplicando_Kubernetes,0,0,0,0,0,0,0,0
Agrn96/SO1_1S2024_201612174,0,0,0,0,0,0,0,0
Ahmed10257/K8s-manifests,0,0,0,0,0,0,0,0
AhmedFatir/EXPERIO,0,0,0,0,0,3,15,0
AhmedMuraat/MockNetflix,0,0,0,0,0,0,0,0
Ahmedmelenany/End-To-End-React-NodeJS-Project,0,0,0,0,0,0,0,0
Ahoo-Wang/CoSec,0,0,0,0,0,0,0,0
Aidin1998/finalex,0,0,0,0,0,0,0,0
Ajithkrkd/Pedal_Planet_Ecommerce,0,0,0,0,0,0,0,0
Akashbanda1999/Kubernetes,0,0,0,0,0,0,0,0
Akhyame/k8s-simple-install,0,0,0,0,0,0,0,0
Akshat021/gcp-k8s-deployment,0,0,0,0,0,0,0,0
AlbertoAlas03/Investigacion_aplicada_LIS_2025,0,0,0,0,0,0,0,0
AleCigolini/notifications-api,0,0,0,0,0,0,0,0
AleCigolini/video-processing-consumer-service,0,0,0,0,0,0,0,0
AlejandrVilla/cloud-project,0,0,0,0,0,0,0,0
Alejandrolmeida/microsoft-docker-alm,0,0,0,0,0,0,0,0
AlessDea/SDCC,0,0,0,0,0,8,0,0
AletheiaFact/aletheia,0,0,0,0,0,0,0,0
AlexJFerreira/postech-techchallenge,0,0,0,0,0,0,0,0
AlexanderThaller/trivy-web,0,0,0,0,0,0,0,0
AlexandreBrown/Kubeflow,0,0,3,0,0,0,24,0
Alexieve/marketing-real-time-games-VOU,0,0,0,0,0,0,0,0
Alivers/multidim-pod-autoscaler,0,0,0,0,0,0,0,0
AliyunContainerService/alibaba-cloud-metrics-adapter,0,0,0,0,0,0,0,0
Allenrovas/SO1_VAC_DIC_2024,0,0,0,0,0,0,0,0
AlonurKomilov/analyticbot,0,0,0,0,0,2,0,0
AlphaH7/Gerard,0,0,0,0,0,0,0,0
Alsairy/AttendancePro,0,0,0,0,0,4,1,0
Alsairy/Waaed,0,0,0,0,0,9,0,0
AlyonaCIA/MLops-Dummies,0,0,0,0,0,0,0,0
Amaan00101/training_day-9,0,0,0,0,0,0,0,0
Aman-Agnihotri/Man-Kahi---Blogging-System,0,0,0,0,0,0,5,0
Amarnadh31/k8-volume-expense,0,0,0,0,0,0,0,0
AnandDaga/react-jenkins-docker-k8s,0,0,0,0,0,0,0,0
Andherson333333/AWS-IAC,0,0,0,0,8,13,0,0
Andherson333333/robot-shop,0,0,0,0,7,13,0,0
Andre-Oliveira-96/jxDemo,0,0,0,0,0,0,0,0
Angelgt3/SO1_201901055,0,0,0,0,0,0,0,0
AngelicaR-25/web-app-k8s,0,0,0,0,0,6,0,0
Anilkaram/Kubernetes-Based-Deployment-with-Monitoring,0,0,0,0,0,0,0,0
Anjanachari/Anjanachari,0,0,0,0,0,0,0,0
AnkitM18-tech/100xDev,0,0,0,0,0,0,0,0
Anshul3773/Data-Engineering-Assistant,0,0,0,0,0,0,0,0
Antek8/microservices-demo,0,0,0,0,0,0,20,0
Anton6896/k8-ant,0,0,0,0,0,0,0,0
AntonioArtimonte/Ponderada-Murilo-2025-2,0,0,0,0,0,0,0,0
AnupDudhe/deleteafterpractice,0,0,0,0,0,0,0,0
AnvayB/TrackFlow,0,0,0,0,0,0,0,0
Araneus84/DevOps_Course,0,0,0,0,0,0,0,0
AravJain007/Scalable-Chatbot,0,0,0,0,0,0,0,0
Archisman-Mridha/x-clone,0,0,0,0,0,0,0,0
Arcturs/devops-cinema,0,0,0,0,0,0,0,0
AriasAEnima/ProgrammingCourse,0,0,0,0,0,0,0,0
Arijit634/notes-app,0,0,0,0,0,0,0,0
Armin-Ebrahimi-Saba/CloudCoursePorjects,0,0,0,0,0,0,0,0
Arnobrizwan/AI-Hud-Challenge,0,0,0,0,0,3,0,0
Arpitmovers/reviewservice,0,0,0,0,0,0,0,0
Arsenet7/new-revive,0,0,0,0,0,0,0,0
