repo_full_name,path,html_url
vfarcic/flagger-contour,canary.yaml,https://github.com/vfarcic/flagger-contour/blob/6f850593ef787dc19af0c776db5e9395172e2d8b/canary.yaml
akimabs/cobain,k8s/hpa.yml,https://github.com/akimabs/cobain/blob/c4337c62b428c704ed9eeaa8e439deb42484f934/k8s/hpa.yml
vitorpadovan/gprc-study,k8/hpa.yaml,https://github.com/vitorpadovan/gprc-study/blob/9f0494c8796c379e07213db2b7b5407af99ef4f2/k8/hpa.yaml
RedHatTraining/CS22X-apps,resources/autoscale-pods/hpa.yaml,https://github.com/RedHatTraining/CS22X-apps/blob/b64d617c9f83e679db70ee893469dab3ba929e4a/resources/autoscale-pods/hpa.yaml
zalehamza/k8s,hpa.yaml,https://github.com/zalehamza/k8s/blob/3f97abc9475050cd8afb8b6750223f96f632c730/hpa.yaml
mUsman3/kubernetes-101,hpa.yaml,https://github.com/mUsman3/kubernetes-101/blob/5d191c28d9735158352640136bb096cacc2fe3c8/hpa.yaml
yashsinghhh/WinterHack-Kestra,hpa.yaml,https://github.com/yashsinghhh/WinterHack-Kestra/blob/2e5725a5a94304c527d01ce62619aa2c20b4e0f6/hpa.yaml
deepak4566/HTTPS-k8s-CloudnativePg,hpa.yaml,https://github.com/deepak4566/HTTPS-k8s-CloudnativePg/blob/3fcde6f0569bb5d4c8335b6c3e5bc0ff31a4bcdd/hpa.yaml
DibyashaktiMoharana/k8sApp,hpa.yaml,https://github.com/DibyashaktiMoharana/k8sApp/blob/e81495507292f0ecfa37b5fcf970d0f5ce5b8b14/hpa.yaml
LucasBello/fiap-app,hpa.yaml,https://github.com/LucasBello/fiap-app/blob/f188a5301224397a6618bcbb6f55eb8dfce8ae99/hpa.yaml
tanasescualexandrugabriel/Cloud-Native-Guestbook-Application-using-Kubernetes-and-IBM-Cloud,hpa.yaml,https://github.com/tanasescualexandrugabriel/Cloud-Native-Guestbook-Application-using-Kubernetes-and-IBM-Cloud/blob/8cc752d75b63511e575c7935ac6d14551362737d/hpa.yaml
Jaidip1994/kubernetes_hpa_custom_metric,hpa.yaml,https://github.com/Jaidip1994/kubernetes_hpa_custom_metric/blob/8d235c2e6f45bec945653da854c22a219a078493/hpa.yaml
vk-maurya/python-api-k8s-autoscaling,hpa.yaml,https://github.com/vk-maurya/python-api-k8s-autoscaling/blob/4f94a560168920790adf101e6e1b2b26e17fbf9f/hpa.yaml
jpiedramacas/kubectl-rust,hpa.yaml,https://github.com/jpiedramacas/kubectl-rust/blob/d66ac3b777127903492d6d10d0486d127e033999/hpa.yaml
AlbertoAlas03/Investigacion_aplicada_LIS_2025,hpa.yaml,https://github.com/AlbertoAlas03/Investigacion_aplicada_LIS_2025/blob/5b16cbf61b90aa7b1b5caba4033bdd02ec516bbc/hpa.yaml
erdongli/toolbox,hpa.yaml,https://github.com/erdongli/toolbox/blob/5945f757b535b5e2285a3d3f228656cce480f46f/hpa.yaml
singhritesh85/kubernetes-manifests,hpa.yaml,https://github.com/singhritesh85/kubernetes-manifests/blob/58e68bb5c9090d086b9757bf05ec35296860e1b2/hpa.yaml
Josheleazar/myNX,HPA.yaml,https://github.com/Josheleazar/myNX/blob/879feb5391ecca15ca4527fdbd235011367e32a1/HPA.yaml
ZahinAbrar/Text-Summarization,hpa.yaml,https://github.com/ZahinAbrar/Text-Summarization/blob/9b20291be5f9d46988c64cb124f7ebd0812c7e8c/hpa.yaml
muke2110/k8s-cluster-demo,hpa.yaml,https://github.com/muke2110/k8s-cluster-demo/blob/b137f062a15c67b463e970050a723f90f1945d72/hpa.yaml
vivekdalsaniya12/manifests,hpa.yaml,https://github.com/vivekdalsaniya12/manifests/blob/153f39c28b76b8f6681cd6a842d1d363136a85ff/hpa.yaml
amitshishodia/my-mongo,hpa.yaml,https://github.com/amitshishodia/my-mongo/blob/c566a24cbd125c236c7150069d503102dbbb01ab/hpa.yaml
hanamagouda9611/kubernetes-yaml-examples,hpa.yaml,https://github.com/hanamagouda9611/kubernetes-yaml-examples/blob/195062cebde832f9c64930ff0669b9ec94853fad/hpa.yaml
EcoTech-WCE-Hackathon/EcoTech,EcoTech-Backend/hpa.yaml,https://github.com/EcoTech-WCE-Hackathon/EcoTech/blob/65b8ede848e0a9c0f78230c35315c8cb6e4032cd/EcoTech-Backend/hpa.yaml
megadoomer-io/helm-charts,charts/basic-service/templates/hpa.yaml,https://github.com/megadoomer-io/helm-charts/blob/d87535860af042b7b6ab53b75c6d05d99b161ef5/charts/basic-service/templates/hpa.yaml
oreoluwaOps/Kubernetes_deployment_with_ingress_cronjob_and_monitoring,hpa-a.yml,https://github.com/oreoluwaOps/Kubernetes_deployment_with_ingress_cronjob_and_monitoring/blob/981bf36d09f02095c60b842913b78b393cf158c1/hpa-a.yml
raghudevopsb85/learn-kubernetes,22-hpa.yml,https://github.com/raghudevopsb85/learn-kubernetes/blob/b714cbf5921798863b5b3d633563f9c8e74a1d78/22-hpa.yml
Ibrahim-krimi/K8SFormationXavki,hpa.yml,https://github.com/Ibrahim-krimi/K8SFormationXavki/blob/aeaed53190d55a44d21ca158bb5edc30440e7a7c/hpa.yml
mahmouuud230/K8s_Source_Code_Reference,hpa.yml,https://github.com/mahmouuud230/K8s_Source_Code_Reference/blob/2148df7397e2a92ee54d5fcc9bcdce1a4b9f1d5a/hpa.yml
MSRG/ksurf,src/varbench/cinit_worker.yaml,https://github.com/MSRG/ksurf/blob/7103d15e8d28bed75980ee847ef406b1f32c9ad0/src/varbench/cinit_worker.yaml
Moustafa-youssef-linux/Restaurant_demo,k8s/hpa.yml,https://github.com/Moustafa-youssef-linux/Restaurant_demo/blob/1a1ce34e9a93cbfa16a1aa51770b35c46a01c7b8/k8s/hpa.yml
GAidaraliev/Multi-zone-cluster-in-kubernetes,webapp.yml,https://github.com/GAidaraliev/Multi-zone-cluster-in-kubernetes/blob/28abe6d79ecee7aed67823305dbcec5c8c2393b6/webapp.yml
GF-Hackaton-2025/service-uploads,k8s/hpa.yml,https://github.com/GF-Hackaton-2025/service-uploads/blob/a40c7aff381fb26674db1168c030c25aa313ce8f/k8s/hpa.yml
