repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
Arunzion/zionix-be-v1,Arunzion,zionix-be-v1,k8s/base/auth-service.yaml,autoscaling/v2,False,False,2634,Resource,memory,UNKNOWN
Armin-Ebrahimi-Saba/CloudCoursePorjects,Armin-Ebrahimi-Saba,CloudCoursePorjects,final-project/ccfinal/kuber/hpa-v2.yaml,autoscaling/v2,False,False,467,Resource,cpu,UNKNOWN
Armin-Ebrahimi-Saba/CloudCoursePorjects,Armin-Ebrahimi-Saba,CloudCoursePorjects,final-project/ccfinal/kuber/hpa-v2.yaml,autoscaling/v2,False,False,467,Resource,memory,UNKNOWN
Nader-Benhassen/EIOS-Platform,Nader-Benhassen,EIOS-Platform,kubernetes-production.yaml,autoscaling/v2,False,False,6969,Resource,cpu,LARGE_YAML
Nader-Benhassen/EIOS-Platform,Nader-Benhassen,EIOS-Platform,kubernetes-production.yaml,autoscaling/v2,False,False,6969,Resource,memory,LARGE_YAML
fminna/LLM-Helm-Fix,fminna,LLM-Helm-Fix,templates/k8s-jacoco-operator_template.yaml,autoscaling/v2,True,False,18980,Resource,cpu,HELM_TEMPLATED
fminna/LLM-Helm-Fix,fminna,LLM-Helm-Fix,templates/k8s-jacoco-operator_template.yaml,autoscaling/v2,True,False,18980,Resource,cpu,LARGE_YAML
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
vigsachi/erlang,vigsachi,erlang,models/online_boutique/mem_autoscale/mem_autoscale_30.yaml,autoscaling/v2beta1,False,False,3831,Resource,memory,UNKNOWN
danielcifuentes54/kubernetes,danielcifuentes54,kubernetes,21-hpa/01-hpa.yml,autoscaling/v2beta2,False,False,345,Resource,cpu,UNKNOWN
kadannrheim/devops,kadannrheim,devops,devops-train/kubernetes/v4_podAntiAffinity/HorizontalPodAutoscaler/HorizontalPodAutoscaler.yaml,autoscaling/v2,False,False,338,Resource,cpu,UNKNOWN
danieleschmidt/iot-anomaly-detector-timeseries,danieleschmidt,iot-anomaly-detector-timeseries,deployment/production_pipeline_deployment.yaml,autoscaling/v2,False,False,6442,Resource,cpu,LARGE_YAML
danieleschmidt/iot-anomaly-detector-timeseries,danieleschmidt,iot-anomaly-detector-timeseries,deployment/production_pipeline_deployment.yaml,autoscaling/v2,False,False,6442,Resource,memory,LARGE_YAML
danieleschmidt/iot-anomaly-detector-timeseries,danieleschmidt,iot-anomaly-detector-timeseries,deployment/production_pipeline_deployment.yaml,autoscaling/v2,False,False,6442,Pods,request_latency_p99,LARGE_YAML
blitzy-public-samples/trial-project-2-2ggkey,blitzy-public-samples,trial-project-2-2ggkey,src/backend/k8s/task-service-deployment.yml,autoscaling/v2,False,True,4684,Resource,cpu,ADVANCED_BEHAVIOR
blitzy-public-samples/trial-project-2-2ggkey,blitzy-public-samples,trial-project-2-2ggkey,src/backend/k8s/task-service-deployment.yml,autoscaling/v2,False,True,4684,Resource,cpu,LARGE_YAML
blitzy-public-samples/trial-project-2-2ggkey,blitzy-public-samples,trial-project-2-2ggkey,src/backend/k8s/task-service-deployment.yml,autoscaling/v2,False,True,4684,Resource,memory,ADVANCED_BEHAVIOR
blitzy-public-samples/trial-project-2-2ggkey,blitzy-public-samples,trial-project-2-2ggkey,src/backend/k8s/task-service-deployment.yml,autoscaling/v2,False,True,4684,Resource,memory,LARGE_YAML
Gogidix-Technologies/gogidix-central-config,Gogidix-Technologies,gogidix-central-config,infrastructure-as-code/k8s/deployment.yaml,autoscaling/v2,False,True,5428,Resource,cpu,ADVANCED_BEHAVIOR
Gogidix-Technologies/gogidix-central-config,Gogidix-Technologies,gogidix-central-config,infrastructure-as-code/k8s/deployment.yaml,autoscaling/v2,False,True,5428,Resource,cpu,LARGE_YAML
Gogidix-Technologies/gogidix-central-config,Gogidix-Technologies,gogidix-central-config,infrastructure-as-code/k8s/deployment.yaml,autoscaling/v2,False,True,5428,Resource,memory,ADVANCED_BEHAVIOR
Gogidix-Technologies/gogidix-central-config,Gogidix-Technologies,gogidix-central-config,infrastructure-as-code/k8s/deployment.yaml,autoscaling/v2,False,True,5428,Resource,memory,LARGE_YAML
omrao07/arbitrage-project,omrao07,arbitrage-project,deploy/workers/scenario_worker.yaml,autoscaling/v2,False,False,5238,Resource,cpu,LARGE_YAML
mac2000/dotnet-fwdays-2018,mac2000,dotnet-fwdays-2018,autoscale.yml,autoscaling/v2beta1,False,False,327,Resource,cpu,UNKNOWN
steblynskyi/infrastructure,steblynskyi,infrastructure,environments/qa/kubernetes/services/payments/public-api.yaml,autoscaling/v2,False,False,1881,Resource,cpu,UNKNOWN
steblynskyi/infrastructure,steblynskyi,infrastructure,environments/qa/kubernetes/services/payments/public-api.yaml,autoscaling/v2,False,False,1881,Resource,memory,UNKNOWN
