Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
EduardoSampaio,k8s-scripts,fullcycle/scripts/hpa.yaml,autoscaling/v2,False,401
bcgov,psa-job-store,deployments/openshift/kustomize/base/api/nestjs/hpa.yml,autoscaling/v2,False,626
vitor-carvalho-ddt,ASA-BU,k8/deployment/deployment.yaml,autoscaling/v2,False,1338
gmackie,homelab,autoscaling/cluster-autoscaler.yaml,autoscaling/v2,False,20589
wusted,kubernetes-install,24-hpa-all-metrics/04-hello-hpa-pods.yaml,autoscaling/v2,False,555
manoj7894,Devops-AWS-2024,Devops-Notes/Kubernetes/Deployment/autoscaling.yml,autoscaling/v2,False,343
Shivgitcode,hpa,scaling.yml,autoscaling/v2,False,354
AssasinDEAD,DistKubernates,k8s/hpa.yml,autoscaling/v2,False,362
yalka2024,finnexusai,k8s/storage/backup-cronjob.yaml,autoscaling/v2,False,2027
rathihimanshu,eks2,hpadep.yaml,autoscaling/v2,False,698
nazmang,k8s,helm-argocd/main.yaml,autoscaling/v2,False,10949
Gogidix-Technologies,gogidix-central-config,environment-config/k8s/hpa.yaml,autoscaling/v2,False,520
airavata-courses,PixelGram,k8s/kube.yaml,autoscaling/v2beta1,False,1492
Birbalsarva,k8s-kind-cluster,K8s/hpa.yaml,autoscaling/v2,False,392
Rgameroco,ibk-test,src/main/resources/k8s/hpa.yaml,autoscaling/v1,False,268
vinoct6,kubernetes_learning,hpa/hpa.yaml,autoscaling/v1,False,352
allenwuzhiwei,config-server,k8s/hpa.yaml,autoscaling/v1,False,267
allenwu-zhiwei,payment-service,k8s/hpa.yaml,autoscaling/v1,False,272
Gogidix-Technologies,gogidix-shared-infrastructure,notification-service/k8s/hpa.yaml,autoscaling/v2,False,883
magicat777,ODIN,k8s/grafana-hpa.yaml,autoscaling/v2,False,1704
magicat777,ODIN,k8s/grafana-hpa.yaml,autoscaling/v2,False,1704
rolaecheas-git,lb-moneygram,k8s/hpa.yaml,autoscaling/v2,False,457
TankChirag-1212,Devops_training,Day9/kubernetes/frontend-hpa.yaml,autoscaling/v2beta2,False,357
fminna,LLM-Helm-Fix,templates/slickchart_template.yaml,autoscaling/v2,True,3278
DevSecOpsSamples,gke-network-loadbalancer,app/ingress-neg-api-template.yaml,autoscaling/v2beta2,False,1996
mackah666,mcp-demo-github-project,examples/sample-app/deployment.yaml,autoscaling/v2,False,6903
italo-costa,estudosKBNT_Kafka_Logs,kubernetes/microservices/virtual-stock-service-scalable.yaml,autoscaling/v2,False,6284
yashparmar04,EIC_Training,Day9/hpa.yaml,autoscaling/v2,False,330
BotEkrem,nodelabs-task,k8s/conversation-service-hpa.yaml,autoscaling/v2,False,695
soonge97,1st-Project,yaml/web/web-hpa.yaml,autoscaling/v1,False,245
Erodotos,k8s-examples,horizontal-pod-autoscaler/manifests/hpa.yaml,autoscaling/v2,False,853
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
daophanquochoai,FoodOrderingApp_BackEnd,k8s/7.hpa.yaml,autoscaling/v2,False,3127
sbaldwin24,apex-api-archivist,k8s/multi-region.yml,autoscaling/v2,False,2860
mannazo,mannazo-deploy,was/swagger-service/swagger-service-hpa-canary.yaml,autoscaling/v2,False,391
kalidindi-naveen,40daysofkubernetes,yamls/hpa.yaml,autoscaling/v2,False,358
bdereims,tkia,examples/VMs2PODs/front-end.yaml,autoscaling/v1,False,3490
bdereims,tkia,examples/VMs2PODs/front-end.yaml,autoscaling/v1,False,3490
tuda-suda,sausage-store-infrastructure,kubernetes/backend-report/hpa.yaml,autoscaling/v2beta2,False,411
Harbr-Foundation,Harbr-Router,kubernetes/hpa.yml,autoscaling/v2,False,518
kliu3816,Jellyclone,infra/hpa.yaml,autoscaling/v2,False,511
FurlanLuka,archie-finance,local/k6-cluster/eks-deploy-chart/templates/deployment.yaml,autoscaling/v2beta2,True,4297
manimaul,mxmariner.com,k8s.yml,autoscaling/v1,False,2195
MarlinMail,MarlinMail,MarlinMail/Brain/k8s/brain-hpa.yaml,autoscaling/v2,False,858
WasiqAli22,microservice-chat-application,k8s/backend-hpa.yaml,autoscaling/v2,False,372
mahendhar514,kubernetesfiles,autoscaling.yml,autoscaling/v2,False,338
leonardosete,desafio-devops,k8s/deploy-prd.yaml,autoscaling/v1,False,3064
stemfresh,argocd,argocd_hpa.yaml,autoscaling/v2,False,1733
stemfresh,argocd,argocd_hpa.yaml,autoscaling/v2,False,1733
stemfresh,argocd,argocd_hpa.yaml,autoscaling/v2,False,1733
clementinesnightmare,clementines-mint,kube/clem-unleash-autoscale.yml,autoscaling/v1,False,273
Ikey168,NeuroNews,deploy/kubernetes/nginx/load-balancer-hpa.yaml,autoscaling/v2,False,855
AgnerLoss,Descomplicando_Kubernetes,day-13-autoscaling/giropops-hpa.yaml,autoscaling/v2,False,1614
blitzy-public-samples,founditure-furniture-marketplace-wvdy7r,infrastructure/kubernetes/backend/hpa.yml,autoscaling/v2,False,2152
Nader-Benhassen,EIOS-Platform,apps/go-services/cmd/db-optimizer/k8s/hpa.yaml,autoscaling/v2,False,1132
persevcareers,AzureKubernetesService,pdb/pdb.yml,autoscaling/v2,False,342
iamsamitdev,K8SBasicDay4,hpa-v2.yaml,autoscaling/v2,False,860
iamsamitdev,K8SBasicOnlineFinal,hpa-v2.yaml,autoscaling/v2,False,860
iamsamitdev,K8SBasicDay5,hpa-v2.yaml,autoscaling/v2,False,860
iamsamitdev,K8SBasicDay6,hpa-v2.yaml,autoscaling/v2,False,860
matthewyuh246,sample-webapp-php-manifests,manifests/overlays/prod/webapp/hpa.yaml,autoscaling/v2,False,144
italo-costa,estudosKBNT_Kafka_Logs_V2_cleanCode,06-deployment/kubernetes/kubernetes/microservices/virtual-stock-service-scalable.yaml,autoscaling/v2,False,6284
yashparmar04,DevOpsTrainingTask,Day9/hpa.yaml,autoscaling/v2,False,330
yashparmar04,Training_Task,Day9/hpa.yaml,autoscaling/v2,False,330
italo-costa,estudosKBNT_Kafka_Logs_V2_cleanCode,08-configuration/virtual-stock-service-scalable.yaml,autoscaling/v2,False,6284
xogucy,sausage-infrastructure,kubernetes/backend-report/hpa.yaml,autoscaling/v2beta2,False,411
Sanefoxx,sausage-shop-app-infrastructure,kubernetes/backend-report/backend-report-hpa.yaml,autoscaling/v2beta2,False,411
voralexan,yandex-devops-course,infrastructure/kubernetes/backend-report/hpa.yml,autoscaling/v2beta2,False,411
mahendhar514,kubernetesfiles,allfiles/autoscaling.yml,autoscaling/v2,False,338
kubernetes,website,content/en/examples/controllers/hpa-rs.yaml,autoscaling/v1,False,251
mmorejon,erase-una-vez-k8s,hpa/hpa.yaml,autoscaling/v1,False,303
