Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
DurgaPrassadh,cloud-deployment-mastery,deployment/k8s/backend/backend-deployment.yaml,autoscaling/v2,False,2351
heangd,theme-park,aks_theme_park/hpa.yml,autoscaling/v1,False,260
Mercor-Projects,ahiremathh-Bugtesting11,kubernetes-tests/src/test/resources/test-v2beta1-horizontalpodautoscaler.yml,autoscaling/v2beta1,False,1221
munagekar,kubeflow-argocd,build/.cache/manifests/manifests-1.2.0/tests/tests/legacy_kustomizations/knative-install/test_data/expected/autoscaling_v2beta1_horizontalpodautoscaler_activator.yaml,autoscaling/v2beta1,False,532
Akshay-0515,yt-comment-sentiment-analysis,kubernetes/hpa.yaml,autoscaling/v2,False,353
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-60/hpa-adservice-cpu-60.yaml,autoscaling/v2,False,420
Mercor-Projects,yatharthsameer-Bugtesting11,kubernetes-tests/src/test/resources/test-v2beta1-horizontalpodautoscaler.yml,autoscaling/v2beta1,False,1221
md82680,Boston-RE-Sale-Probability-Model,.history/k8s/deployment_20250416104022.yaml,autoscaling/v2,False,1319
HanxuanSheng,HZZ-cloud-assignment,Kubernetes/HZZ-final.yaml,autoscaling/v2,False,4173
kristianrpo,documents-management-microservice,k8s/overlays/prod/hpa.yaml,autoscaling/v2,False,391
tikalk,argocd-demo,base/hpa.yaml,autoscaling/v1,False,261
Vizzuality,emissions-scenario-portal,k8s/production/hpa.yaml,autoscaling/v1,False,309
hbulpf,k8spath,apps/kubeguide/source_code_v4/Chapter1/1.4.7 hpa.yaml,autoscaling/v1,False,245
yhafez,shroud,kubernetes/base/api/hpa.yaml,autoscaling/v2,False,1117
AFKD98,LLM_devops,config_v2_feedback/generated_configs/dask/codellama34binstruct/level_3/config_4.yaml,autoscaling/v2beta1,False,1150
AlexRogalskiy,javascript-patterns,k8s/backend/hpa.yaml,autoscaling/v2beta2,False,718
Pvz25,Sock-Shop-New,incident-7-broken-hpa.yaml,autoscaling/v2,False,941
kasyifana,svc-belajar-go,deploy/prod-deployment.yaml,autoscaling/v2beta2,False,3027
alexisbanuls14,TFG_AlexisBanulsGonzalez,load-testing/kubernetes/envoy/envoy-hpa.yaml,autoscaling/v1,False,281
pieby2,F1,k8s/hpa.yaml,autoscaling/v2,False,892
schambeck,api-dna,kubernetes/deployment.yaml,autoscaling/v2beta1,False,7082
rytswd,get-istio-multicluster,clusters/bison/istio/installation/generated-manifests/1.8.5/full-installation/istio-control-plane-install.yaml,autoscaling/v2beta1,False,222778
tmather99,EchoService,onprem/php-apache.yml,autoscaling/v1,False,865
vivsoftorg,PlatformOne-BOA,MLOps/kubeflow-manifests/tests/tests/legacy_kustomizations/knative-install/test_data/expected/autoscaling_v2beta1_horizontalpodautoscaler_activator.yaml,autoscaling/v2beta1,False,532
yassmineeljeri,ProjectTools,argocd/Applications/HPA/JaegerHPA.yaml,autoscaling/v2,False,2736
anokfireball,homelab-as-code,flux/apps/immich.yaml,autoscaling/v2,False,7839
kasyifana,svc-service-latihan-go,deploy/prod-deployment.yaml,autoscaling/v2beta2,False,3027
penguintechinc,skauswatch,k8s/kustomize/base/manifests/manager/hpa.yaml,autoscaling/v2,False,894
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-80-mem-40/hpa-adservice-cpu-80-mem-40.yaml,autoscaling/v2,False,592
gushob21,auto-tuning-vllm,platforms/gke/base/use-cases/inference-ref-arch/kubernetes-manifests/batch-inference-gpu/batch-pubsub-subscriber/base/hpa.yaml,autoscaling/v2,False,1183
myminseok,kubeflow-main,kubeflow-manifests-v1.4.0/tests/tests/legacy_kustomizations/knative-install/test_data/expected/autoscaling_v2beta1_horizontalpodautoscaler_activator.yaml,autoscaling/v2beta1,False,532
iyhunko,go-grpc-http-framework,k8s/overlays/prod/hpa-patch.yaml,autoscaling/v2,False,134
EchoCog,deep-tree-echo-rkwv,infrastructure/kubernetes/base/cognitive-service.yaml,autoscaling/v2,False,3646
AhmadRafiee,DevOps_Certification,kubernetes/scenario/auto-scaling/php-app/04.php-hpa.yml,autoscaling/v2,False,536
heungheung,ckh,k8s/base/app/web.HorizontalPodAutoscaler.yaml,autoscaling/v2beta2,False,332
gdawsonkesson,online-boutique-gitops,overlays/dev/reliability.yaml,autoscaling/v2,False,5049
evankanderson,knative-config-packaging,base/knative-eventing/knative-eventing/1.0.2/4-mt-channel-broker.yaml,autoscaling/v2beta2,False,20634
Mercor-Projects,Harsh4999-Bugtesting11,kubernetes-tests/src/test/resources/test-v2beta1-horizontalpodautoscaler.yml,autoscaling/v2beta1,False,1221
ColaberryIntern,OptiSight,k8s/recommendation-service.yml,autoscaling/v2,False,2400
atul583-dev,voice-ai-platform,infrastructure/k8s/llm-deployment.yaml,autoscaling/v2,False,1539
pagopa,interop-probing-k8s,overlays/uat/probing-eservice-operations/hpa.yaml,autoscaling/v1,False,303
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/mem-80/hpa-recommendationservice-mem-80.yaml,autoscaling/v2,False,447
MakerCorn,athenaeum,kubernetes/deployment.yaml,autoscaling/v2,False,14150
aniasse,Distributed-realtime-media-plateform,k8s/hpa.yaml,autoscaling/v2,False,2708
stuartleeks,k8s-hpa-prometheus-custom-metrics,app/hpa.cpu.yml,autoscaling/v2beta2,False,379
FarahMHAMDI,SAS-VIYA,sas-viya/sas-bases/base/components/sas-decisions-definitions/resources.yaml,autoscaling/v2beta2,False,7286
hyder51,k8s-manifest-repo,base/flask-hpa.yaml,autoscaling/v1,False,292
kalou906,AKIG,k8s/hpa-backend.yaml,autoscaling/v2,False,12399
4soat-grupo-60,pedido-ms,k8s/dev/produtos-ms-hpa.yaml,autoscaling/v1,False,290
TopThisHat,m-clone,backend/job_runner/k8s/hpa.yaml,autoscaling/v2,False,379
MrIridescent,threat-detection-platform,k8s/production/deployment.yaml,autoscaling/v2,False,5204
borahanmirzaii,adk,kubernetes/hpa.yaml,autoscaling/v2,False,865
dimroc,count,kubernetes/example_autoscaler.yaml,extensions/v1beta1,False,352
haetsalshin92,k8s-manifest-repo,base/flask-hpa.yaml,autoscaling/v1,False,292
stuartwdouglasmidstream,github--fabric8io--kubernetes-client,kubernetes-tests/src/test/resources/test-v2beta1-horizontalpodautoscaler.yml,autoscaling/v2beta1,False,1221
tasty-savings,ts-infra,overlays/dev/frontend/frontend-hpa.yml,autoscaling/v2,False,499
