Owner,Project,File Path,Is Helm Template,apiVersion,ScaleTargetRef Kind,Has Behavior,Behavior ScaleUp StabilizationWindow,Behavior ScaleUp SelectPolicy,Behavior ScaleUp Policies,Behavior ScaleDown StabilizationWindow,Behavior ScaleDown SelectPolicy,Behavior ScaleDown Policies,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value,ContainerResource Container
1Developer1,e-commerce-website-with-clean-code,k8s/hpa.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",300,,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 60}]",2,5,Resource,memory,Utilization,80,
oasici,honeywell-sales-manager,deploy/k8s/base/backend-hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,6,Resource,cpu,Utilization,70,
n4hy,HFPathSimulatorLiveData,deploy/kubernetes/deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,70,
kareemloulah,SeniorAcademy,kubernetes/Lab_4/hpa-nginx.yml,False,autoscaling/v2,Deployment,False,,,,,,,2,8,Resource,cpu,Utilization,70,
overview,overview-server,kubernetes/convert-pst.yml,False,autoscaling/v1,Deployment,False,,,,,,,1,4,resource,cpu,Utilization,50.0,
haribabumallela,SpringBootDemo,hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,50,
haribabumallela,SpringBootDemo,hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,memory,Utilization,80,
TingTung93,AI-Schedule-Manager,k8s/deployments/frontend-deployment.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}]",300,,"[{""type"": ""Percent"", ""value"": 20, ""periodSeconds"": 60}]",2,6,Resource,cpu,Utilization,70,
TingTung93,AI-Schedule-Manager,k8s/deployments/frontend-deployment.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}]",300,,"[{""type"": ""Percent"", ""value"": 20, ""periodSeconds"": 60}]",2,6,Resource,memory,Utilization,80,
ccelenaa,kube-pcs,api-stripe/base/resources/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,70,
ccelenaa,kube-pcs,api-stripe/base/resources/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,memory,Utilization,70,
jxs1211,k8s-related,super-cloud-platform/keda/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
vanillaturtlechips,streets-argocd,projects/tomcat-board/board-hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,50,
vanillaturtlechips,streets-argocd,projects/tomcat-board/board-hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,memory,Utilization,70,
yry1816186-pixel,AiNeed,k8s/hpa.yml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,cpu,Utilization,50,
yry1816186-pixel,AiNeed,k8s/hpa.yml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,memory,Utilization,70,
